codigo,nome,descricao
001,Banco do Brasil S.A.,Estatal
033,Banco Santander (Brasil) S.A.,Privado
104,Caixa Econômica Federal,Estatal
237,Banco Bradesco S.A.,Privado
341,Itaú Unibanco S.A.,Privado
356,Banco Real S.A. (incorporado),Privado
389,Banco Mercantil do Brasil S.A.,Privado
399,HSBC Bank Brasil S.A. (incorporado),Privado
422,Banco Safra S.A.,Privado
745,Banco Citibank S.A.,Privado
746,Banco Modal S.A.,Privado
260,Nu Pagamentos S.A. (Nubank),Privado
077,Banco Inter S.A.,Privado
290,Pagseguro Internet S.A.,Privado
